title,company,lang,link
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),kotlin,https://www.wanted.co.kr//wd/205880
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,kotlin,https://www.wanted.co.kr//wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),kotlin,https://www.wanted.co.kr//wd/85839
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),kotlin,https://www.wanted.co.kr//wd/178642
Backend Senior Engineer (Kotlin/Spring),코비그룹,kotlin,https://www.wanted.co.kr//wd/135374
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),kotlin,https://www.wanted.co.kr//wd/40457
Java/Kotlin 백엔드 서버 엔지니어,티비유,kotlin,https://www.wanted.co.kr//wd/118264
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,kotlin,https://www.wanted.co.kr//wd/196645
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),kotlin,https://www.wanted.co.kr//wd/205880
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,kotlin,https://www.wanted.co.kr//wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),kotlin,https://www.wanted.co.kr//wd/85839
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),kotlin,https://www.wanted.co.kr//wd/178642
Backend Senior Engineer (Kotlin/Spring),코비그룹,kotlin,https://www.wanted.co.kr//wd/135374
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),kotlin,https://www.wanted.co.kr//wd/40457
Java/Kotlin 백엔드 서버 엔지니어,티비유,kotlin,https://www.wanted.co.kr//wd/118264
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,kotlin,https://www.wanted.co.kr//wd/196645
Backend Engineer (Kotlin),코인원(coinone),kotlin,https://www.wanted.co.kr//wd/171459
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),kotlin,https://www.wanted.co.kr//wd/100640
[100억↑투자] 백엔드(Kotlin) 개발자 (WIPPY 재팬 스쿼드),엔라이즈(NRISE),kotlin,https://www.wanted.co.kr//wd/43127
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),kotlin,https://www.wanted.co.kr//wd/197273
Java/Kotlin Backend Engineer (상품전시개발실),무신사,kotlin,https://www.wanted.co.kr//wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,kotlin,https://www.wanted.co.kr//wd/188378
"Back-end 개발자(Java/Kotlin) 1년 이상, 산업기능요원 편입 가능",테이블매니저,kotlin,https://www.wanted.co.kr//wd/166639
