title,company,lang,link
백엔드 엔지니어 (Python),아이네블루메(채티),python,https://www.wanted.co.kr//wd/60926
B2C 백엔드 엔지니어(Python) - 크레딧플래닛,피플펀드컴퍼니(PeopleFundCompany),python,https://www.wanted.co.kr//wd/165354
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,python,https://www.wanted.co.kr//wd/193356
"개발자 (JAVA,Python,AI,IoT)",펀진,python,https://www.wanted.co.kr//wd/161900
개발자 (Python),애드크림,python,https://www.wanted.co.kr//wd/202338
웹/앱 백엔드개발자(Python),에임비랩,python,https://www.wanted.co.kr//wd/204586
풀스택 웹 개발자 (Python/Django),웜블러드,python,https://www.wanted.co.kr//wd/142233
백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),python,https://www.wanted.co.kr//wd/18295
백엔드 엔지니어 (Python),아이네블루메(채티),python,https://www.wanted.co.kr//wd/60926
B2C 백엔드 엔지니어(Python) - 크레딧플래닛,피플펀드컴퍼니(PeopleFundCompany),python,https://www.wanted.co.kr//wd/165354
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,python,https://www.wanted.co.kr//wd/193356
"개발자 (JAVA,Python,AI,IoT)",펀진,python,https://www.wanted.co.kr//wd/161900
개발자 (Python),애드크림,python,https://www.wanted.co.kr//wd/202338
웹/앱 백엔드개발자(Python),에임비랩,python,https://www.wanted.co.kr//wd/204586
풀스택 웹 개발자 (Python/Django),웜블러드,python,https://www.wanted.co.kr//wd/142233
백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),python,https://www.wanted.co.kr//wd/18295
Python 서버개발자,크로스이엔에프,python,https://www.wanted.co.kr//wd/153489
python 개발자 (3년 이상),자이온아이티에스,python,https://www.wanted.co.kr//wd/187131
백엔드 개발자 (Python/Django) - 서울,비프로컴퍼니(Bepro),python,https://www.wanted.co.kr//wd/200403
[1500억↑투자] Senior Backend Engineer - Python,트릿지,python,https://www.wanted.co.kr//wd/96146
Python 백엔드 개발자 (3년이상),엠몬스타,python,https://www.wanted.co.kr//wd/196490
Python application & Algorithm 개발자,메디픽셀,python,https://www.wanted.co.kr//wd/190006
